event_id,date,home_team,away_team,minute,display,half,event_type,team,is_shot,is_goal,is_foul,is_corner,text
760415,2026-06-11,Mexico,South Africa,2.7,3',1,Foul,South Africa,0,0,1,0,Foul by Aubrey Modiba (South Africa).
760415,2026-06-11,Mexico,South Africa,2.7,3',1,Foul,Mexico,0,0,1,0,Roberto Alvarado (Mexico) wins a free kick in the attacking half.
760415,2026-06-11,Mexico,South Africa,3.5,4',1,Shot Blocked,Mexico,1,0,0,0,Attempt blocked. Brian Gutiérrez (Mexico) right footed shot from outside the box is blocked.
760415,2026-06-11,Mexico,South Africa,4.1,5',1,Shot On Target,Mexico,0,0,0,0,Attempt saved. Raúl Jiménez (Mexico) left footed shot from the centre of the box is saved in the bottom left corner by Ronwen Williams (South Africa).
760415,2026-06-11,Mexico,South Africa,4.1,5',1,Corner Awarded,Mexico,0,0,0,1,"Corner, Mexico. Conceded by Ronwen Williams."
760415,2026-06-11,Mexico,South Africa,8.6,9',1,Goal,South Africa,1,1,0,0,"Goal! Mexico 1, South Africa 0. Julián Quiñones (Mexico) right footed shot from the centre of the box to the centre of the goal. Assisted by Érik Lira"
760415,2026-06-11,Mexico,South Africa,9.9,10',1,Handball,Mexico,0,0,0,0,Handball by Raúl Jiménez (Mexico).
760415,2026-06-11,Mexico,South Africa,10.2,11',1,Foul,Mexico,0,0,1,0,Julián Quiñones (Mexico) wins a free kick on the left wing.
760415,2026-06-11,Mexico,South Africa,10.2,11',1,Foul,South Africa,0,0,1,0,Foul by Khuliso Mudau (South Africa).
760415,2026-06-11,Mexico,South Africa,12.0,12',1,Corner Awarded,Mexico,0,0,0,1,"Corner, Mexico. Conceded by Khuliso Mudau."
760415,2026-06-11,Mexico,South Africa,12.5,13',1,Shot Off Target,Mexico,0,0,0,0,"Attempt missed. Raúl Jiménez (Mexico) header from the centre of the box is close, but misses to the left. Assisted by Roberto Alvarado with a cross fo"
760415,2026-06-11,Mexico,South Africa,14.4,15',1,Foul,Mexico,0,0,1,0,Álvaro Fidalgo (Mexico) wins a free kick in the defensive half.
760415,2026-06-11,Mexico,South Africa,14.4,15',1,Foul,South Africa,0,0,1,0,Foul by Yaya Sithole (South Africa).
760415,2026-06-11,Mexico,South Africa,15.3,16',1,Foul,Mexico,0,0,1,0,Foul by Brian Gutiérrez (Mexico).
760415,2026-06-11,Mexico,South Africa,15.3,16',1,Foul,South Africa,0,0,1,0,Mbekezeli Mbokazi (South Africa) wins a free kick in the defensive half.
760415,2026-06-11,Mexico,South Africa,16.3,17',1,Foul,South Africa,0,0,1,0,Foul by Teboho Mokoena (South Africa).
760415,2026-06-11,Mexico,South Africa,16.3,17',1,Foul,Mexico,0,0,1,0,Álvaro Fidalgo (Mexico) wins a free kick in the defensive half.
760415,2026-06-11,Mexico,South Africa,16.4,17',1,Yellow Card,South Africa,0,0,1,0,Teboho Mokoena (South Africa) is shown the yellow card for a bad foul.
760415,2026-06-11,Mexico,South Africa,19.0,19',1,Shot Off Target,Mexico,0,0,0,0,"Attempt missed. Julián Quiñones (Mexico) right footed shot from outside the box is close, but misses the top right corner. Assisted by Israel Reyes."
760415,2026-06-11,Mexico,South Africa,19.7,20',1,Foul,Mexico,0,0,1,0,Foul by César Montes (Mexico).
760415,2026-06-11,Mexico,South Africa,19.7,20',1,Foul,South Africa,0,0,1,0,Lyle Foster (South Africa) wins a free kick in the defensive half.
760415,2026-06-11,Mexico,South Africa,20.6,21',1,Foul,South Africa,0,0,1,0,Foul by Khuliso Mudau (South Africa).
760415,2026-06-11,Mexico,South Africa,20.6,21',1,Foul,Mexico,0,0,1,0,César Montes (Mexico) wins a free kick in the defensive half.
760415,2026-06-11,Mexico,South Africa,22.5,23',1,Foul,Mexico,0,0,1,0,Foul by Brian Gutiérrez (Mexico).
760415,2026-06-11,Mexico,South Africa,22.5,23',1,Foul,South Africa,0,0,1,0,Teboho Mokoena (South Africa) wins a free kick on the right wing.
760415,2026-06-11,Mexico,South Africa,22.6,23',1,Yellow Card,Mexico,0,0,1,0,Brian Gutiérrez (Mexico) is shown the yellow card for a bad foul.
760415,2026-06-11,Mexico,South Africa,24.2,25',1,Start Delay,unknown,0,0,0,0,Delay in match for a drinks break.
760415,2026-06-11,Mexico,South Africa,26.9,27',1,End Delay,unknown,0,0,0,0,Delay over. They are ready to continue.
760415,2026-06-11,Mexico,South Africa,29.1,30',1,Shot Blocked,Mexico,1,0,0,0,Attempt blocked. Brian Gutiérrez (Mexico) right footed shot from the centre of the box is blocked. Assisted by Julián Quiñones.
760415,2026-06-11,Mexico,South Africa,31.9,32',1,Offside,South Africa,0,0,0,0,"Offside, South Africa. Aubrey Modiba is caught offside."
760415,2026-06-11,Mexico,South Africa,37.0,37',1,Shot Off Target,South Africa,0,0,0,0,Attempt missed. Lyle Foster (South Africa) header from the centre of the box misses to the right. Assisted by Mbekezeli Mbokazi with a cross.
760415,2026-06-11,Mexico,South Africa,38.7,39',1,Foul,Mexico,0,0,1,0,Érik Lira (Mexico) wins a free kick in the defensive half.
760415,2026-06-11,Mexico,South Africa,38.7,39',1,Foul,South Africa,0,0,1,0,Foul by Yaya Sithole (South Africa).
760415,2026-06-11,Mexico,South Africa,41.8,42',1,Shot Blocked,Mexico,1,0,0,0,Attempt blocked. Julián Quiñones (Mexico) right footed shot from outside the box is blocked. Assisted by Álvaro Fidalgo.
760415,2026-06-11,Mexico,South Africa,41.9,42',1,Shot Hit Woodwork,Mexico,1,0,0,0,Julián Quiñones (Mexico) hits the right post with a right footed shot from the centre of the box. Assisted by Brian Gutiérrez.
760415,2026-06-11,Mexico,South Africa,42.0,43',1,Foul,Mexico,0,0,1,0,Foul by Roberto Alvarado (Mexico).
760415,2026-06-11,Mexico,South Africa,42.0,43',1,Foul,South Africa,0,0,1,0,Mbekezeli Mbokazi (South Africa) wins a free kick in the defensive half.
760415,2026-06-11,Mexico,South Africa,43.4,44',1,Corner Awarded,South Africa,0,0,0,1,"Corner, South Africa. Conceded by Jesús Gallardo."
760415,2026-06-11,Mexico,South Africa,44.2,45',1,Shot On Target,South Africa,0,0,0,0,Attempt saved. Mbekezeli Mbokazi (South Africa) left footed shot from outside the box is saved in the top left corner by Raúl Rangel (Mexico).
760415,2026-06-11,Mexico,South Africa,45.0,45'+2',1,Shot Blocked,Mexico,1,0,0,0,Attempt blocked. Jesús Gallardo (Mexico) left footed shot from outside the box is blocked. Assisted by Raúl Jiménez.
760415,2026-06-11,Mexico,South Africa,45.0,45'+4',1,Shot Off Target,Mexico,0,0,0,0,Attempt missed. Brian Gutiérrez (Mexico) right footed shot from the centre of the box misses to the right. Assisted by Julián Quiñones.
760415,2026-06-11,Mexico,South Africa,45.0,45'+4',1,Halftime,Mexico,0,0,0,0,"First Half ends, Mexico 1, South Africa 0."
760415,2026-06-11,Mexico,South Africa,45.0,45',1,Start 2nd Half,South Africa,0,0,0,0,"Second Half begins Mexico 1, South Africa 0."
760415,2026-06-11,Mexico,South Africa,45.6,46',1,Shot Off Target,Mexico,0,0,0,0,Attempt missed. Brian Gutiérrez (Mexico) right footed shot from outside the box is too high.
760415,2026-06-11,Mexico,South Africa,47.3,48',2,Shot On Target,Mexico,0,0,0,0,Attempt saved. Julián Quiñones (Mexico) right footed shot from more than 35 yards is saved in the top centre of the goal by Ronwen Williams (South Afr
760415,2026-06-11,Mexico,South Africa,48.9,49',2,Foul,South Africa,0,0,1,0,Foul by Yaya Sithole (South Africa).
760415,2026-06-11,Mexico,South Africa,48.9,49',2,Foul,Mexico,0,0,1,0,Brian Gutiérrez (Mexico) wins a free kick in the attacking half.
760415,2026-06-11,Mexico,South Africa,49.0,49',2,Red Card,South Africa,0,0,1,0,Yaya Sithole (South Africa) is shown the red card.
760415,2026-06-11,Mexico,South Africa,51.1,52',2,Shot Blocked,Mexico,1,0,0,0,Attempt blocked. Raúl Jiménez (Mexico) right footed shot from outside the box is blocked.
760415,2026-06-11,Mexico,South Africa,51.2,52',2,Shot Off Target,Mexico,0,0,0,0,Attempt missed. Jesús Gallardo (Mexico) left footed shot from the left side of the box is high and wide to the left. Assisted by Brian Gutiérrez follo
760415,2026-06-11,Mexico,South Africa,52.0,53',2,Corner Awarded,Mexico,0,0,0,1,"Corner, Mexico. Conceded by Khuliso Mudau."
760415,2026-06-11,Mexico,South Africa,55.0,55',2,Shot On Target,South Africa,0,0,0,0,Attempt saved. Aubrey Modiba (South Africa) left footed shot from outside the box is saved in the top left corner by Raúl Rangel (Mexico). Assisted by
760415,2026-06-11,Mexico,South Africa,55.9,56',2,Substitution,South Africa,0,0,0,0,"Substitution, South Africa. Thalente Mbatha replaces Lyle Foster."
760415,2026-06-11,Mexico,South Africa,56.8,57',2,Foul,Mexico,0,0,1,0,Érik Lira (Mexico) wins a free kick in the attacking half.
760415,2026-06-11,Mexico,South Africa,56.8,57',2,Foul,South Africa,0,0,1,0,Foul by Aubrey Modiba (South Africa).
760415,2026-06-11,Mexico,South Africa,57.9,58',2,Shot Off Target,Mexico,0,0,0,0,Attempt missed. Israel Reyes (Mexico) header from the centre of the box misses to the left. Assisted by Brian Gutiérrez with a cross following a set p
760415,2026-06-11,Mexico,South Africa,60.6,61',2,Foul,South Africa,0,0,1,0,Aubrey Modiba (South Africa) wins a free kick in the defensive half.
760415,2026-06-11,Mexico,South Africa,60.6,61',2,Foul,Mexico,0,0,1,0,Foul by Roberto Alvarado (Mexico).
760415,2026-06-11,Mexico,South Africa,61.0,61',2,Substitution,South Africa,0,0,0,0,"Substitution, South Africa. Themba Zwane replaces Jayden Adams."
760415,2026-06-11,Mexico,South Africa,62.5,63',2,Foul,South Africa,0,0,1,0,Khuliso Mudau (South Africa) wins a free kick in the defensive half.
760415,2026-06-11,Mexico,South Africa,62.5,63',2,Foul,Mexico,0,0,1,0,Dangerous play by Julián Quiñones (Mexico).
760415,2026-06-11,Mexico,South Africa,65.5,66',2,Substitution,Mexico,0,0,0,0,"Substitution, Mexico. Luis Chávez replaces Brian Gutiérrez."
760415,2026-06-11,Mexico,South Africa,65.5,66',2,Substitution,Mexico,0,0,0,0,"Substitution, Mexico. Gilberto Mora replaces Álvaro Fidalgo."
760415,2026-06-11,Mexico,South Africa,66.6,67',2,Goal - Header,South Africa,1,1,0,0,"Goal! Mexico 2, South Africa 0. Raúl Jiménez (Mexico) header from very close range to the bottom left corner. Assisted by Roberto Alvarado with a cros"
760415,2026-06-11,Mexico,South Africa,67.8,68',2,Start Delay,unknown,0,0,0,0,Delay in match for a drinks break.
760415,2026-06-11,Mexico,South Africa,69.4,70',2,End Delay,unknown,0,0,0,0,Delay over. They are ready to continue.
760415,2026-06-11,Mexico,South Africa,71.5,72',2,Offside,Mexico,0,0,0,0,"Offside, Mexico. Raúl Jiménez is caught offside."
760415,2026-06-11,Mexico,South Africa,72.5,73',2,Start Delay,Mexico,0,0,0,0,Delay in match because of an injury Raúl Jiménez (Mexico).
760415,2026-06-11,Mexico,South Africa,73.0,73',2,End Delay,unknown,0,0,0,0,Delay over. They are ready to continue.
760415,2026-06-11,Mexico,South Africa,73.2,74',2,Foul,South Africa,0,0,1,0,Foul by Nkosinathi Sibisi (South Africa).
760415,2026-06-11,Mexico,South Africa,73.2,74',2,Foul,Mexico,0,0,1,0,Julián Quiñones (Mexico) wins a free kick in the attacking half.
760415,2026-06-11,Mexico,South Africa,73.3,74',2,Yellow Card,South Africa,0,0,1,0,Nkosinathi Sibisi (South Africa) is shown the yellow card for a bad foul.
760415,2026-06-11,Mexico,South Africa,75.1,76',2,Foul,South Africa,0,0,1,0,Aubrey Modiba (South Africa) wins a free kick in the defensive half.
760415,2026-06-11,Mexico,South Africa,75.1,76',2,Foul,Mexico,0,0,1,0,Foul by Luis Chávez (Mexico).
760415,2026-06-11,Mexico,South Africa,75.6,76',2,Substitution,Mexico,0,0,0,0,"Substitution, Mexico. Edson Álvarez replaces Érik Lira."
760415,2026-06-11,Mexico,South Africa,75.8,76',2,Substitution,Mexico,0,0,0,0,"Substitution, Mexico. Armando González replaces Raúl Jiménez."
760415,2026-06-11,Mexico,South Africa,76.0,76',2,Substitution,South Africa,0,0,0,0,"Substitution, South Africa. Evidence Makgopa replaces Iqraam Rayners."
760415,2026-06-11,Mexico,South Africa,76.2,77',2,Substitution,South Africa,0,0,0,0,"Substitution, South Africa. Oswin Appollis replaces Aubrey Modiba."
760415,2026-06-11,Mexico,South Africa,78.3,79',2,Substitution,Mexico,0,0,0,0,"Substitution, Mexico. Alexis Vega replaces Julián Quiñones."
760415,2026-06-11,Mexico,South Africa,79.0,79',2,Foul,South Africa,0,0,1,0,Teboho Mokoena (South Africa) wins a free kick in the defensive half.
760415,2026-06-11,Mexico,South Africa,79.0,79',2,Foul,Mexico,0,0,1,0,Foul by Gilberto Mora (Mexico).
760415,2026-06-11,Mexico,South Africa,80.0,81',2,Foul,South Africa,0,0,1,0,Foul by Themba Zwane (South Africa).
760415,2026-06-11,Mexico,South Africa,80.0,81',2,Foul,Mexico,0,0,1,0,Roberto Alvarado (Mexico) wins a free kick in the defensive half.
760415,2026-06-11,Mexico,South Africa,80.2,81',2,Start Delay,Mexico,0,0,0,0,Delay in match because of an injury Roberto Alvarado (Mexico).
760415,2026-06-11,Mexico,South Africa,80.9,81',2,End Delay,unknown,0,0,0,0,Delay over. They are ready to continue.
760415,2026-06-11,Mexico,South Africa,81.8,82',2,VAR - Referee decision cancelled,South Africa,0,0,0,0,VAR Decision: Card upgraded Themba Zwane (South Africa).
760415,2026-06-11,Mexico,South Africa,83.4,84',2,Red Card,South Africa,0,0,1,0,Themba Zwane (South Africa) is shown the red card for violent conduct.
760415,2026-06-11,Mexico,South Africa,88.3,89',2,Foul,Mexico,0,0,1,0,Armando González (Mexico).
760415,2026-06-11,Mexico,South Africa,88.3,89',2,Foul,South Africa,0,0,1,0,Mbekezeli Mbokazi (South Africa) wins a free kick in the defensive half.
760415,2026-06-11,Mexico,South Africa,89.6,90',2,Foul,South Africa,0,0,1,0,Foul by Mbekezeli Mbokazi (South Africa).
760415,2026-06-11,Mexico,South Africa,89.6,90',2,Foul,Mexico,0,0,1,0,Edson Álvarez (Mexico) wins a free kick in the attacking half.
760415,2026-06-11,Mexico,South Africa,90.0,90'+2',2,Foul,Mexico,0,0,1,0,Foul by César Montes (Mexico).
760415,2026-06-11,Mexico,South Africa,90.0,90'+2',2,Foul,South Africa,0,0,1,0,Khuliso Mudau (South Africa) wins a free kick in the attacking half.
760415,2026-06-11,Mexico,South Africa,90.0,90'+2',2,Red Card,Mexico,0,0,1,0,César Montes (Mexico) is shown the red card.
760415,2026-06-11,Mexico,South Africa,90.0,90'+7',2,Foul,Mexico,0,0,1,0,Foul by Jesús Gallardo (Mexico).
760415,2026-06-11,Mexico,South Africa,90.0,90'+7',2,Foul,South Africa,0,0,1,0,Khuliso Mudau (South Africa) wins a free kick in the defensive half.
760414,2026-06-11,South Korea,Czechia,2.8,3',1,Offside,South Korea,0,0,0,0,"Offside, Korea Republic. Son Heung-Min is caught offside."
760414,2026-06-11,South Korea,Czechia,8.0,8',1,Foul,Czechia,0,0,1,0,Foul by Ladislav Krejcí (Czechia).
760414,2026-06-11,South Korea,Czechia,8.0,8',1,Foul,South Korea,0,0,1,0,Lee Kang-In (Korea Republic) wins a free kick on the right wing.
760414,2026-06-11,South Korea,Czechia,9.7,10',1,Corner Awarded,South Korea,0,0,0,1,"Corner, Korea Republic. Conceded by Jaroslav Zeleny."
760414,2026-06-11,South Korea,Czechia,11.4,12',1,Shot Blocked,South Korea,1,0,0,0,Attempt blocked. Son Heung-Min (Korea Republic) left footed shot from the centre of the box is blocked. Assisted by Lee Jae-Sung.
760414,2026-06-11,South Korea,Czechia,11.5,12',1,Corner Awarded,South Korea,0,0,0,1,"Corner, Korea Republic. Conceded by Robin Hranác."
760414,2026-06-11,South Korea,Czechia,11.9,12',1,Shot Off Target,South Korea,0,0,0,0,Attempt missed. Lee Han-Beom (Korea Republic) header from the centre of the box is too high. Assisted by Lee Tae-Seok with a cross following a corner.
760414,2026-06-11,South Korea,Czechia,13.1,14',1,Shot On Target,South Korea,0,0,0,0,Attempt saved. Lee Kang-In (Korea Republic) left footed shot from outside the box is saved in the bottom right corner by Matej Kovár (Czechia). Assist
760414,2026-06-11,South Korea,Czechia,13.2,14',1,Corner Awarded,South Korea,0,0,0,1,"Corner, Korea Republic. Conceded by Matej Kovár."
760414,2026-06-11,South Korea,Czechia,14.0,14',1,Shot Blocked,South Korea,1,0,0,0,Attempt blocked. Son Heung-Min (Korea Republic) right footed shot from the centre of the box is blocked. Assisted by Lee Kang-In.
760414,2026-06-11,South Korea,Czechia,14.5,15',1,Corner Awarded,Czechia,0,0,0,1,"Corner, Czechia. Conceded by Kim Min-Jae."
760414,2026-06-11,South Korea,Czechia,15.4,16',1,Foul,South Korea,0,0,1,0,Son Heung-Min (Korea Republic) wins a free kick on the right wing.
760414,2026-06-11,South Korea,Czechia,15.4,16',1,Foul,Czechia,0,0,1,0,Foul by Pavel Sulc (Czechia).
760414,2026-06-11,South Korea,Czechia,17.5,18',1,Offside,Czechia,0,0,0,0,"Offside, Czechia. Lukás Provod is caught offside."
760414,2026-06-11,South Korea,Czechia,18.7,19',1,Foul,South Korea,0,0,1,0,Foul by Kim Min-Jae (Korea Republic).
760414,2026-06-11,South Korea,Czechia,18.7,19',1,Foul,Czechia,0,0,1,0,Lukás Provod (Czechia) wins a free kick in the defensive half.
760414,2026-06-11,South Korea,Czechia,20.1,21',1,Corner Awarded,Czechia,0,0,0,1,"Corner, Czechia. Conceded by Lee Tae-Seok."
760414,2026-06-11,South Korea,Czechia,20.9,21',1,Corner Awarded,Czechia,0,0,0,1,"Corner, Czechia. Conceded by Hwang In-Beom."
760414,2026-06-11,South Korea,Czechia,21.5,22',1,Shot Off Target,Czechia,0,0,0,0,Attempt missed. Tomás Soucek (Czechia) left footed shot from very close range misses to the right. Assisted by Alexandr Sojka with a cross following a
760414,2026-06-11,South Korea,Czechia,22.2,23',1,Foul,South Korea,0,0,1,0,Paik Seung-Ho (Korea Republic) wins a free kick in the attacking half.
760414,2026-06-11,South Korea,Czechia,22.2,23',1,Foul,Czechia,0,0,1,0,Foul by Lukás Provod (Czechia).
760414,2026-06-11,South Korea,Czechia,22.2,23',1,Start Delay,unknown,0,0,0,0,Delay in match for a drinks break.
760414,2026-06-11,South Korea,Czechia,24.4,25',1,End Delay,unknown,0,0,0,0,Delay over. They are ready to continue.
760414,2026-06-11,South Korea,Czechia,24.9,25',1,Offside,South Korea,0,0,0,0,"Offside, Korea Republic. Seol Young-Woo is caught offside."
760414,2026-06-11,South Korea,Czechia,25.4,26',1,Start Delay,South Korea,0,0,0,0,Delay in match (Korea Republic).
760414,2026-06-11,South Korea,Czechia,26.2,27',1,End Delay,unknown,0,0,0,0,Delay over. They are ready to continue.
760414,2026-06-11,South Korea,Czechia,27.5,28',1,Foul,Czechia,0,0,1,0,Pavel Sulc (Czechia) wins a free kick on the left wing.
760414,2026-06-11,South Korea,Czechia,27.5,28',1,Foul,South Korea,0,0,1,0,Foul by Lee Han-Beom (Korea Republic).
760414,2026-06-11,South Korea,Czechia,28.5,29',1,Foul,Czechia,0,0,1,0,Foul by Vladimír Coufal (Czechia).
760414,2026-06-11,South Korea,Czechia,28.5,29',1,Foul,South Korea,0,0,1,0,Lee Gi-Hyuk (Korea Republic) wins a free kick in the defensive half.
760414,2026-06-11,South Korea,Czechia,31.4,32',1,Shot Off Target,Czechia,0,0,0,0,Attempt missed. Pavel Sulc (Czechia) right footed shot from outside the box is just a bit too high.
760414,2026-06-11,South Korea,Czechia,33.5,34',1,Foul,South Korea,0,0,1,0,Foul by Lee Tae-Seok (Korea Republic).
760414,2026-06-11,South Korea,Czechia,33.5,34',1,Foul,Czechia,0,0,1,0,Vladimír Coufal (Czechia) wins a free kick in the defensive half.
760414,2026-06-11,South Korea,Czechia,36.0,37',1,Foul,South Korea,0,0,1,0,Lee Jae-Sung (Korea Republic) wins a free kick in the defensive half.
760414,2026-06-11,South Korea,Czechia,36.0,37',1,Foul,Czechia,0,0,1,0,Foul by Vladimír Coufal (Czechia).
760414,2026-06-11,South Korea,Czechia,37.3,38',1,Shot Off Target,South Korea,0,0,0,0,Attempt missed. Son Heung-Min (Korea Republic) right footed shot from outside the box is too high. Assisted by Lee Jae-Sung.
760414,2026-06-11,South Korea,Czechia,38.5,39',1,Shot Off Target,South Korea,0,0,0,0,Attempt missed. Son Heung-Min (Korea Republic) left footed shot from outside the box misses to the left. Assisted by Kim Min-Jae.
760414,2026-06-11,South Korea,Czechia,39.2,40',1,Foul,Czechia,0,0,1,0,Foul by Vladimír Coufal (Czechia).
760414,2026-06-11,South Korea,Czechia,39.2,40',1,Foul,South Korea,0,0,1,0,Lee Tae-Seok (Korea Republic) wins a free kick in the defensive half.
760414,2026-06-11,South Korea,Czechia,40.6,41',1,Foul,Czechia,0,0,1,0,Alexandr Sojka (Czechia) wins a free kick in the attacking half.
760414,2026-06-11,South Korea,Czechia,40.6,41',1,Foul,South Korea,0,0,1,0,Foul by Lee Jae-Sung (Korea Republic).
760414,2026-06-11,South Korea,Czechia,42.8,43',1,Foul,South Korea,0,0,1,0,Son Heung-Min (Korea Republic) wins a free kick in the defensive half.
760414,2026-06-11,South Korea,Czechia,42.8,43',1,Foul,Czechia,0,0,1,0,Foul by Robin Hranác (Czechia).
760414,2026-06-11,South Korea,Czechia,45.0,45'+2',1,Shot Blocked,South Korea,1,0,0,0,Attempt blocked. Son Heung-Min (Korea Republic) right footed shot from the centre of the box is blocked. Assisted by Lee Tae-Seok.
760414,2026-06-11,South Korea,Czechia,45.0,45'+3',1,Shot Off Target,South Korea,0,0,0,0,Attempt missed. Hwang In-Beom (Korea Republic) right footed shot from outside the box is high and wide to the left. Assisted by Son Heung-Min.
760414,2026-06-11,South Korea,Czechia,46.9,47',2,Foul,Czechia,0,0,1,0,Patrik Schick (Czechia) wins a free kick in the defensive half.
760414,2026-06-11,South Korea,Czechia,46.9,47',2,Foul,South Korea,0,0,1,0,Foul by Kim Min-Jae (Korea Republic).
760414,2026-06-11,South Korea,Czechia,47.4,48',2,Corner Awarded,Czechia,0,0,0,1,"Corner, Czechia. Conceded by Lee Han-Beom."
760414,2026-06-11,South Korea,Czechia,48.8,49',2,Shot On Target,South Korea,0,0,0,0,Attempt saved. Hwang In-Beom (Korea Republic) right footed shot from the right side of the box is saved in the bottom left corner by Matej Kovár (Czec
760414,2026-06-11,South Korea,Czechia,48.8,49',2,Shot On Target,South Korea,0,0,0,0,Attempt saved. Lee Jae-Sung (Korea Republic) left footed shot from the centre of the box is saved in the centre of the goal by Matej Kovár (Czechia).
760414,2026-06-11,South Korea,Czechia,52.1,53',2,Foul,Czechia,0,0,1,0,Foul by Tomás Soucek (Czechia).
760414,2026-06-11,South Korea,Czechia,52.1,53',2,Foul,South Korea,0,0,1,0,Lee Jae-Sung (Korea Republic) wins a free kick on the left wing.
760414,2026-06-11,South Korea,Czechia,55.2,56',2,Shot On Target,South Korea,0,0,0,0,Attempt saved. Son Heung-Min (Korea Republic) left footed shot from the left side of the box is saved in the bottom left corner by Matej Kovár (Czechi
760414,2026-06-11,South Korea,Czechia,55.2,56',2,Corner Awarded,South Korea,0,0,0,1,"Corner, Korea Republic. Conceded by Matej Kovár."
760414,2026-06-11,South Korea,Czechia,58.2,59',2,Goal - Header,Czechia,1,1,0,0,"Goal! Korea Republic 0, Czechia 1. Ladislav Krejcí (Czechia) header from very close range to the bottom right corner. Assisted by Vladimír Coufal."
760414,2026-06-11,South Korea,Czechia,60.7,61',2,Shot Off Target,South Korea,0,0,0,0,Attempt missed. Lee Jae-Sung (Korea Republic) header from the centre of the box misses to the left. Assisted by Seol Young-Woo with a cross.
760414,2026-06-11,South Korea,Czechia,61.7,62',2,Foul,South Korea,0,0,1,0,Foul by Seol Young-Woo (Korea Republic).
760414,2026-06-11,South Korea,Czechia,61.7,62',2,Foul,Czechia,0,0,1,0,Jaroslav Zeleny (Czechia) wins a free kick in the defensive half.
760414,2026-06-11,South Korea,Czechia,61.8,62',2,Substitution,South Korea,0,0,0,0,"Substitution, Korea Republic. Hwang Hee-Chan replaces Lee Jae-Sung."
760414,2026-06-11,South Korea,Czechia,62.5,63',2,Foul,Czechia,0,0,1,0,Foul by Ladislav Krejcí (Czechia).
760414,2026-06-11,South Korea,Czechia,62.5,63',2,Foul,South Korea,0,0,1,0,Lee Kang-In (Korea Republic) wins a free kick in the defensive half.
760414,2026-06-11,South Korea,Czechia,63.1,64',2,Substitution,Czechia,0,0,0,0,"Substitution, Czechia. Adam Hlozek replaces Pavel Sulc."
760414,2026-06-11,South Korea,Czechia,63.2,64',2,Substitution,Czechia,0,0,0,0,"Substitution, Czechia. Tomás Chory replaces Patrik Schick."
760414,2026-06-11,South Korea,Czechia,63.2,64',2,Substitution,Czechia,0,0,0,0,"Substitution, Czechia. Michal Sadílek replaces Lukás Provod."
760414,2026-06-11,South Korea,Czechia,66.7,67',2,Goal,Czechia,1,1,0,0,"Goal! Korea Republic 1, Czechia 1. Hwang In-Beom (Korea Republic) right footed shot from the centre of the box to the bottom right corner. Assisted by"
760414,2026-06-11,South Korea,Czechia,68.3,69',2,Substitution,South Korea,0,0,0,0,"Substitution, Korea Republic. Eom Ji-Sung replaces Lee Tae-Seok."
760414,2026-06-11,South Korea,Czechia,68.8,69',2,Substitution,South Korea,0,0,0,0,"Substitution, Korea Republic. Oh Hyeon-Gyu replaces Son Heung-Min."
760414,2026-06-11,South Korea,Czechia,69.1,70',2,Foul,South Korea,0,0,1,0,Oh Hyeon-Gyu (Korea Republic) wins a free kick in the defensive half.
760414,2026-06-11,South Korea,Czechia,69.1,70',2,Foul,Czechia,0,0,1,0,Foul by Robin Hranác (Czechia).
760414,2026-06-11,South Korea,Czechia,69.3,70',2,Start Delay,unknown,0,0,0,0,Delay in match for a drinks break.
760414,2026-06-11,South Korea,Czechia,71.4,72',2,End Delay,unknown,0,0,0,0,Delay over. They are ready to continue.
